nickName;firstName;lastName;gender;nationality;instagramLink;stravaLink;garminLink;bikeBrand;hillsScore;sprintScore;mountainScore;ittScore;gcScore;classicScore;downHillScore;cobblesScore;rankingPoint;weight;height;birth;team
Henri  Uhlig;Henri; Uhlig;male;Germany;https://www.instagram.com/henriuhlig/;https://www.strava.com/athletes/19354703;null;null;174;192;49;100;52;118;null;null;507;71;181;2001-08-01;Alpecin - Deceuninck
Fabio Van den Bossche;Fabio;Van den Bossche;male;Belgium;https://www.instagram.com/fabiovdb/;https://www.strava.com/athletes/1867924;null;null;75;27;25;15;142;114;null;null;1225;63;176;2000-09-21;Alpecin - Deceuninck
Mathieu van der Poel;Mathieu;van der Poel;male;Netherlands;https://www.instagram.com/mathieuvanderpoel;https://www.strava.com/pros/559834;null;null;3090;1286;1042;968;1119;6991;null;null;90;75;184;1995-01-19;Alpecin - Deceuninck
Luca  Vergallito;Luca; Vergallito;male;Italy;https://www.instagram.com/il_banditoo/;https://www.strava.com/athletes/2004466;null;null;57;0;134;12;188;23;null;null;491;67;190;1997-09-14;Alpecin - Deceuninck
Julian  Alaphilippe;Julian; Alaphilippe;male;France;https://www.instagram.com/alafpolak/;https://www.strava.com/athletes/116723523;null;null;4565;324;5224;1427;2725;6597;null;null;91;62;173;1992-06-11;Tudor Pro Cycling Team
Kasper  Asgreen;Kasper; Asgreen;male;Denmark;https://www.instagram.com/k_asgreen/;https://strava.com/athletes/kasgreen;null;null;1422;303;496;2362;796;1594;null;null;677;75;192;1995-02-08;EF Education - EasyPost
Ayco  Bastiaens;Ayco; Bastiaens;male;Belgium;https://www.instagram.com/aycobastiaens/;https://www.strava.com/pros/10705535;null;null;8;8;0;0;19;10;null;null;1111;76;191;1996-06-03;Soudal Quick-Step
Mattia  Cattaneo;Mattia; Cattaneo;male;Italy;https://www.instagram.com/matcatta/;https://www.strava.com/athletes/10887608;null;null;727;10;1198;1983;1484;737;null;null;1810;67;184;1990-10-25;Soudal Quick-Step
Josef  Černý;Josef; Černý;male;Czech Republic;https://www.instagram.com/josef_cerny_/;https://strava.com/athletes/cernyjosef;null;null;450;192;62;1660;692;204;null;null;1759;75;188;1993-05-11;Soudal Quick-Step
Remco  Evenepoel;Remco; Evenepoel;male;Belgium;https://www.instagram.com/remco.ev/;https://strava.com/athletes/revenepoel;null;null;1276;120;3874;3845;3994;3084;null;null;49;61;171;2000-01-25;Soudal Quick-Step
