nickName;firstName;lastName;gender;nationality;instagramLink;stravaLink;garminLink;bikeBrand;hillsScore;sprintScore;mountainScore;ittScore;gcScore;classicScore;downHillScore;cobblesScore;rankingPoint;weight;height;birth;team
Jack  Rootkin-Gray;Jack; Rootkin-Gray;male;Great Britain;http://www.instagram.com/jackrootkingray/;https://www.strava.com/athletes/2647425?hl=fr-FR;null;null;54;42;29;7;32;79;null;null;2110;67;178;2002-11-05;EF Education - EasyPost
Jonas  Rutsch;Jonas; Rutsch;male;Germany;https://www.instagram.com/rutschjonas/;https://www.strava.com/pros/jonas-rutsch-18722207?hl=fr-FR;null;null;215;40;54;149;299;360;null;null;513;82;197;1998-01-24;Intermarché - Wanty
Archie  Ryan;Archie; Ryan;male;Ireland;https://www.instagram.com/rrchieryan/;https://www.strava.com/athletes/28749655;null;null;219;0;301;6;248;213;null;null;170;56;172;2001-11-16;EF Education - EasyPost
James  Shaw;James; Shaw;male;Great Britain;https://www.instagram.com/jamesshaw96;https://www.strava.com/athletes/4848511;null;null;226;34;374;116;538;123;null;null;1328;63;179;1996-06-13;EF Education - EasyPost
Georg  Steinhauser;Georg; Steinhauser;male;Germany;https://www.instagram.com/georg_steinhauser/;https://www.strava.com/athletes/49339400;null;null;160;0;334;106;155;200;null;null;165;65;189;2001-10-21;EF Education - EasyPost
Harry  Sweeny;Harry; Sweeny;male;Australia;https://www.instagram.com/harry.sweeny/;https://www.strava.com/athletes/743112;null;null;250;63;106;159;223;142;null;null;637;75;186;1998-07-09;EF Education - EasyPost
Yuhi  Todome;Yuhi; Todome;male;Japan;https://www.instagram.com/yuyu_tdm/;https://www.strava.com/athletes/32448853;null;null;22;9;31;24;1;19;null;null;1180;;176;2002-06-18;EF Education - EasyPost
Rigoberto  Urán;Rigoberto; Urán;male;Colombia;https://www.instagram.com/rigobertouran/;https://www.strava.com/pros/1514397;null;null;2170;60;6464;1804;5913;3086;null;null;260;63;173;1987-01-26;null
Michael  Valgren;Michael; Valgren;male;Denmark;https://www.instagram.com/valgrenmichael/;https://www.strava.com/pros/2109462;null;null;1858;84;955;453;1188;2867;null;null;735;71;179;1992-02-07;EF Education - EasyPost
Marijn van den Berg;Marijn;van den Berg;male;Netherlands;https://www.instagram.com/marijnvandenberg/;https://www.strava.com/pros/marijn_vandenberg;null;null;888;830;160;75;357;641;null;null;2083;73;182;1999-07-19;EF Education - EasyPost
